temperature,humidity,time
12.25,58.02,3035
12.27,58.09,2984
12.28,57.70,2987
12.28,58.09,3037
12.28,58.98,3028
12.31,57.69,2957
12.33,57.17,2987
12.33,59.50,2974
12.34,58.09,3058
12.35,56.35,2926
12.35,57.95,2977
12.35,57.28,2962
12.35,58.43,3004
12.36,57.25,2981
12.40,59.30,2980
12.40,57.86,2960
12.40,60.83,2998
12.41,58.83,2930
12.42,59.87,2977
12.43,58.34,3055
12.50,56.87,2954
12.50,60.17,5952
12.57,57.22,2989
12.57,58.13,3007
12.57,58.65,3058
12.57,57.79,3031
12.58,57.23,2982
12.60,57.45,2984
12.60,59.46,2951
12.60,59.07,2951
12.60,58.26,2956
12.61,57.94,3007
12.61,58.39,3028
12.62,58.06,3052
12.62,57.93,3010
12.62,57.35,2957
12.63,58.19,2956
12.63,57.58,3007
12.64,57.26,2960
12.64,58.03,3010
12.64,58.19,2984
12.64,58.16,2980
12.64,58.13,2977
12.65,57.64,3010
12.65,58.74,3105
12.65,57.58,2981
12.65,58.57,3104
12.65,58.34,2983
12.65,56.94,2983
12.65,61.14,2989
12.66,57.57,3007
12.66,57.64,2968
12.66,58.12,3058
12.66,57.71,3004
12.66,58.93,2998
12.67,56.77,2989
12.69,55.97,2959
12.69,56.79,2960
12.69,59.29,3447
12.69,58.74,2981
12.69,58.61,3013
12.70,58.87,3052
12.70,58.41,2981
12.70,58.83,3022
12.71,59.19,2980
12.71,58.70,3034
12.71,58.99,3034
12.72,58.45,3055
12.72,58.90,3004
12.73,58.72,2977
12.75,57.02,3033
12.77,55.93,2932
12.77,57.29,3037
12.78,58.99,3078
12.78,57.19,2980
12.78,61.36,2980
12.79,57.09,2995
12.79,57.39,2983
12.79,58.80,2977
12.79,56.52,3010
12.79,57.10,3013
12.79,58.31,2956
12.79,57.43,2986
12.80,57.87,2974
12.80,57.66,3008
12.81,57.72,3003
12.81,58.70,3010
12.81,57.71,3036
12.81,58.40,2980
12.81,58.39,3085
12.81,58.21,2953
12.82,59.26,2977
12.82,58.95,2948
12.82,58.41,3970
12.82,57.36,2980
12.82,58.67,2950
12.82,57.90,2959
12.84,57.16,3036
12.85,58.48,3057
12.86,55.82,3031
12.86,57.13,3878
12.86,57.49,2983
12.88,57.05,2986
12.88,61.51,2926
12.91,58.57,3031
12.92,56.96,2929
12.94,56.00,2953
12.95,55.89,2980
12.95,57.26,3031
12.95,56.66,3054
12.95,61.74,2952
12.96,57.49,3027
12.96,58.26,2944
12.99,56.36,2977
13.00,56.46,2980
13.02,58.35,3010
13.03,62.18,2926
13.05,59.09,2975
13.06,56.73,3030
13.06,57.62,3081
13.07,56.53,2956
13.08,56.48,2980
13.10,59.08,3001
13.10,57.24,2953
13.12,55.58,2962
13.12,56.35,2956
13.12,59.13,3001
13.12,62.06,2925
13.15,56.93,3057
13.16,57.25,3057
13.19,55.36,2979
13.21,61.63,2950
13.23,55.77,2985
13.23,56.26,2979
13.23,56.97,3036
13.24,55.18,2979
13.25,58.24,2967
13.26,58.09,3080
13.27,58.25,3006
13.27,58.64,3000
13.27,54.63,2982
13.29,58.25,3003
13.30,61.38,2925
13.31,56.12,3000
13.31,54.57,2935
13.33,58.80,3053
13.34,55.54,3006
13.37,57.96,3050
13.38,54.98,2956
13.39,60.33,2901
13.40,53.94,2958
13.41,57.50,3300
13.43,57.56,2979
13.43,56.19,3000
13.43,55.80,2955
13.44,56.38,3035
13.44,55.23,3030
13.45,56.23,3002
13.45,55.49,2979
13.46,56.33,2979
13.46,57.24,3026
13.47,55.36,2955
13.47,56.21,2979
13.47,60.06,2956
13.48,57.04,3003
13.48,58.22,3077
13.49,57.26,3005
13.49,57.98,2997
13.49,55.17,3009
13.50,57.27,2976
13.50,56.62,3023
13.53,54.67,2981
13.53,60.57,2901
13.59,54.75,3249
13.61,60.43,2949
13.62,54.17,2959
13.67,60.52,2905
13.69,54.23,2987
13.74,60.57,2922
13.76,54.67,2983
13.79,60.47,2922
13.80,54.34,3052
13.84,53.56,3010
13.88,60.39,2955
13.89,54.04,2983
13.93,54.84,2983
13.93,60.22,2972
13.94,55.16,3104
13.95,54.59,2971
13.97,56.13,2950
13.98,54.78,3280
13.99,55.45,2980
14.00,55.53,2982
14.00,60.06,2922
14.01,54.10,3011
14.01,55.90,3027
14.03,55.38,3004
14.03,57.54,3027
14.03,54.88,3054
14.03,56.58,3030
14.05,54.81,2955
14.05,55.97,3033
14.05,56.55,3075
14.05,55.88,2983
14.05,56.79,3000
14.06,56.12,3003
14.07,54.54,2976
14.07,56.65,2976
14.09,54.22,2985
14.10,59.93,2945
14.12,54.31,2958
14.18,55.94,3101
14.19,54.04,3039
14.19,55.99,3026
14.20,59.41,2944
14.23,53.39,2958
14.25,59.18,2921
14.26,53.96,2985
14.29,54.77,3000
14.29,59.08,2945
14.30,56.81,2997
14.32,52.81,2980
14.34,54.27,3097
14.35,58.80,2924
14.37,53.71,3011
14.37,54.73,2984
14.39,54.43,2981
14.39,58.64,2946
14.40,54.24,3034
14.40,55.13,3009
14.41,53.49,3004
14.41,54.57,2936
14.41,53.61,2986
14.41,52.91,2960
14.42,54.99,3846
14.42,55.09,2999
14.43,51.91,2986
14.43,56.69,3025
14.44,56.72,3004
14.44,54.87,2998
14.45,55.07,3001
14.45,58.55,2921
14.47,55.39,2954
14.47,54.90,3048
14.47,56.12,3052
14.48,55.39,3030
14.49,56.42,3001
14.51,52.13,3010
14.51,58.41,2921
14.55,52.73,2983
14.56,58.24,2953
14.58,54.58,3004
14.58,57.99,2948
14.59,54.10,3004
14.63,53.36,2981
14.64,55.70,2944
14.64,53.98,2953
14.64,57.89,2946
14.66,53.64,3004
14.66,54.38,2929
14.68,54.30,3055
14.68,55.74,3030
14.68,54.75,2977
14.68,57.87,2926
14.69,53.39,2956
14.70,55.94,2916
14.70,55.19,2968
14.70,54.77,3051
14.71,57.72,2947
14.72,52.75,3036
14.73,53.91,2979
14.73,53.26,2953
14.75,54.04,3009
14.75,54.84,2976
14.77,55.24,2974
14.77,55.31,3007
14.77,57.57,2923
14.80,57.45,2921
14.81,52.37,2962
14.84,57.40,2919
14.85,51.07,2955
14.88,57.21,2921
14.94,57.08,2945
14.95,53.88,3056
14.98,54.51,3002
14.99,52.50,2948
14.99,55.44,2970
15.00,56.95,2944
15.04,51.95,3011
15.04,53.97,2951
15.04,54.50,3005
15.07,56.77,2920
15.10,51.27,3028
15.11,56.68,2944
15.13,56.54,2921
15.15,51.72,2980
15.16,56.36,2920
15.22,51.70,2981
15.23,56.29,2920
15.26,56.21,2920
15.29,51.18,3002
15.31,56.16,2920
15.33,52.78,2945
15.34,52.33,3025
15.37,56.04,2920
15.38,50.85,3026
15.41,55.75,2919
15.44,50.79,2924
15.44,55.75,2924
15.46,55.65,2919
15.49,55.57,2943
15.51,50.59,2959
15.52,54.25,3051
15.52,55.50,2950
15.57,50.21,2982
15.58,55.38,2968
15.61,55.33,2968
15.66,52.03,2985
15.67,55.25,2968
15.71,55.18,2919
15.73,52.04,2952
15.74,55.09,2920
15.76,55.04,2970
15.77,53.67,2946
15.78,54.94,2946
15.83,54.84,2949
15.84,52.33,3006
15.86,54.75,2921
15.88,53.41,2946
15.89,52.18,3107
15.90,54.67,2919
15.93,52.85,2942
15.93,54.62,2999
15.95,49.21,3014
15.97,54.60,2919
16.04,48.76,2954
16.06,54.69,2942
16.12,56.77,2985
16.13,48.47,2924
16.16,54.54,2938
16.24,54.30,3016
16.27,49.60,2973
16.29,54.73,2964
16.32,54.20,2911
16.33,49.65,2946
16.33,53.97,2991
16.36,53.84,2934
16.36,53.78,2960
16.36,53.66,2886
16.39,53.68,2913
16.39,53.65,2910
16.40,53.63,2912
16.41,53.62,2937
16.42,49.33,3003
16.42,53.72,2960
16.45,53.87,2984
16.46,53.88,2937
16.47,53.91,2934
16.47,53.88,2985
16.48,53.84,2910
16.49,53.78,2940
16.50,53.82,2934
16.52,53.78,2985
16.54,50.18,2979
16.55,53.75,2960
16.56,53.75,2960
16.58,53.62,2934
16.60,53.60,2984
16.61,53.62,2934
16.62,51.15,2976
16.62,52.65,3115
16.62,53.59,2916
16.63,53.47,2937
16.64,53.50,2934
16.65,52.72,3070
16.66,53.63,3067
16.66,53.55,2991
16.70,53.44,3008
16.72,53.41,2984
16.73,53.32,2984
16.74,53.34,2936
16.75,51.69,3124
16.76,53.32,2940
16.77,53.40,2961
16.78,49.85,2981
16.80,53.32,2934
16.82,53.31,2936
16.84,50.07,2952
16.84,53.19,2936
16.85,53.09,2984
16.86,53.09,2984
16.88,51.99,2999
16.90,50.38,3008
16.91,53.06,2934
16.92,53.03,2984
16.93,53.02,2984
16.94,52.91,2960
16.95,52.94,2933
16.95,52.93,2937
16.99,52.97,2934
17.00,52.97,2984
17.03,51.37,3049
17.03,52.95,2934
17.04,52.95,2910
17.05,52.92,2959
17.05,52.88,2959
17.06,52.73,2910
17.07,52.78,2965
17.07,52.75,2910
17.08,49.84,3077
17.10,52.76,2940
17.11,52.77,3008
17.14,52.66,2934
17.17,52.74,2960
17.18,45.04,2940
17.20,52.58,2984
17.21,52.63,2933
17.23,52.55,2983
17.26,52.47,2933
17.26,52.46,3014
17.29,52.43,2983
17.31,52.34,2959
17.34,44.45,2963
17.34,52.31,2960
17.35,52.26,2984
17.36,52.24,2966
17.38,52.19,2983
17.39,52.24,2933
17.40,52.14,2933
17.43,52.15,2983
17.44,52.14,2909
17.45,52.17,2982
17.48,52.17,2934
17.48,52.11,2939
17.49,52.12,2959
17.49,52.10,2933
17.50,52.09,2939
17.51,44.79,2954
17.52,52.14,2983
17.54,51.98,2959
17.55,51.96,2933
17.58,51.95,2933
17.61,51.92,2933
17.61,51.91,2984
17.62,51.82,2983
17.64,51.91,2939
17.64,51.90,2909
17.64,51.91,2983
17.64,51.91,3008
17.66,51.87,2910
17.68,47.09,2974
17.68,51.91,2933
17.68,51.81,2909
17.69,51.84,2909
17.69,51.80,3036
17.70,51.78,2985
17.74,51.82,2973
17.74,51.85,2972
17.74,52.01,2922
17.74,52.00,2899
17.75,51.82,2948
17.75,52.01,2949
17.75,51.91,2947
17.77,51.95,2920
17.79,52.05,2943
17.79,52.07,2926
17.81,51.88,2905
17.82,51.94,2920
17.82,51.93,2896
17.82,51.94,2917
17.82,51.98,2900
17.83,52.08,2893
17.83,52.13,2893
17.84,48.33,2998
17.84,51.92,2917
17.84,52.12,2894
17.85,52.01,2892
17.87,52.01,2918
17.87,51.91,2893
17.89,51.92,2917
17.90,51.92,2917
17.90,51.93,2917
17.91,51.90,2892
17.92,51.89,2892
17.94,46.08,3051
17.94,51.83,2892
17.95,51.85,2899
17.96,51.82,2895
17.96,51.81,2870
17.97,51.90,2899
17.98,51.94,2871
17.99,51.94,2919
17.99,51.90,2895
18.02,51.84,2893
18.02,51.75,2893
18.02,51.69,2893
18.07,43.98,3058
18.07,51.68,2917
18.07,51.69,2892
18.08,51.74,2916
18.08,51.75,2893
18.08,51.86,2893
18.10,51.85,2918
18.12,51.81,2892
18.12,51.81,2891
18.15,51.82,2892
18.19,51.71,2898
18.21,51.69,2917
18.22,45.25,2951
18.22,51.62,2892
18.22,51.59,2897
18.23,51.60,2892
18.23,51.59,2892
18.23,51.63,2898
18.24,51.62,2892
18.24,51.62,2892
18.25,51.58,2892
18.26,51.61,2892
18.28,51.55,2892
18.30,51.49,2916
18.30,51.49,2892
18.34,51.36,2916
18.34,51.35,2917
18.35,51.32,2891
18.36,51.34,2917
18.36,51.33,2917
18.37,51.32,2917
18.37,51.30,2917
18.38,51.28,2890
18.39,51.39,2918
18.39,51.37,2890
18.40,51.30,2891
18.41,47.55,2968
18.41,51.27,2917
18.43,51.27,2917
18.44,51.25,2891
18.44,51.29,2916
18.46,51.24,2917
18.47,51.19,2922
18.47,51.19,2891
18.47,51.30,2899
18.48,51.26,2890
18.48,51.21,2890
18.48,51.31,2924
18.49,51.30,2917
18.49,51.27,2890
18.49,51.30,2897
18.49,51.30,2917
18.49,51.27,2891
18.50,51.30,2892
18.51,51.30,2892
18.52,51.30,2891
18.52,51.22,2891
18.53,51.25,2916
18.53,51.21,2891
18.54,46.09,2962
18.54,51.21,2892
18.55,51.24,2892
18.56,51.23,2891
18.56,51.19,2892
18.56,51.20,2891
18.56,51.21,2891
18.56,51.21,2891
18.56,51.27,2891
18.57,51.21,2891
18.57,51.24,2917
18.57,51.23,2891
18.57,51.21,2897
18.57,51.23,2892
18.57,51.21,2896
18.58,51.27,2915
18.59,51.26,2898
18.59,51.23,2892
18.59,51.22,2892
18.62,43.83,2947
18.63,51.25,2889
18.63,51.19,2915
18.63,51.19,2892
18.64,51.21,2916
18.64,51.22,2892
18.67,51.17,2915
18.69,51.11,2890
18.69,51.08,2918
18.69,51.05,2893
18.69,51.08,2891
18.69,51.10,2917
18.69,51.10,2890
18.71,51.18,2923
18.72,51.08,2891
18.72,51.19,2917
18.72,51.17,2917
18.73,51.04,2897
18.73,51.04,2917
18.73,51.09,2891
18.73,51.12,2923
18.73,51.15,2917
18.74,51.14,2890
18.76,51.17,2896
18.78,51.06,2893
18.79,51.11,2891
18.79,51.08,2923
18.79,51.06,2893
18.81,51.02,2890
18.82,50.98,2890
18.83,51.01,2890
18.83,51.01,2890
18.83,50.95,2867
18.85,46.56,2980
18.85,50.98,2890
18.85,50.98,2890
18.85,50.98,2892
18.85,50.95,2898
18.85,50.98,2916
18.86,50.99,2891
18.87,50.92,2896
18.89,50.92,2891
18.89,50.94,2915
18.91,50.93,2920
18.91,50.88,2890
18.92,50.92,2890
18.92,50.88,2915
18.92,50.88,2891
18.93,50.88,2867
18.94,50.85,2890
18.95,50.85,2891
18.95,50.85,2891
18.96,50.83,2916
18.96,50.88,2891
18.96,50.88,2891
18.97,50.88,2890
18.97,50.82,2921
18.98,50.81,2891
18.98,50.82,2890
18.98,50.85,2891
18.99,50.81,2891
18.99,50.82,2897
18.99,50.79,2891
19.00,56.58,2992
19.00,50.80,2891
19.00,50.85,2891
19.01,56.56,2941
19.01,56.54,2991
19.01,50.84,2890
19.01,50.82,2915
19.01,50.82,2867
19.01,50.85,2868
19.01,50.88,2890
19.02,56.50,2943
19.02,50.91,2895
19.02,50.87,2891
19.03,56.66,2943
19.03,52.33,2906
19.03,50.86,2897
19.03,50.89,2916
19.03,50.86,2890
19.05,57.05,2949
19.05,50.92,2915
19.05,50.91,2891
19.06,56.58,2943
19.06,50.85,2890
19.07,56.51,2991
19.08,56.58,3018
19.08,50.84,2915
19.08,50.83,2915
19.08,50.84,2915
19.08,50.85,2917
19.09,56.54,2991
19.09,56.57,2992
19.09,56.57,2968
19.09,56.63,3039
19.09,50.83,2891
19.09,50.85,2915
19.09,50.86,2915
19.09,50.82,2914
19.09,50.84,2915
19.09,50.80,2915
19.09,50.82,2915
19.09,50.84,2890
19.09,50.85,2921
19.09,50.95,2891
19.10,50.89,2921
19.10,50.91,2867
19.10,50.84,2888
19.10,50.89,2890
19.10,50.96,2915
19.10,50.95,2896
19.10,50.98,2891
19.11,50.82,2915
19.11,50.97,2889
19.12,50.88,2915
19.12,50.91,2890
19.12,50.91,2890
19.13,50.95,2914
19.13,50.89,2915
19.14,50.92,2914
19.14,50.88,2866
19.14,50.90,2891
19.15,50.88,2915
19.15,50.89,2890
19.15,50.88,2915
19.16,50.89,2891
19.18,50.88,2914
19.18,50.86,2891
19.18,50.85,2890
19.20,50.83,2920
19.20,50.89,2916
19.21,50.85,2914
19.21,50.82,2890
19.21,50.82,2873
19.21,50.83,2915
19.21,50.85,2896
19.21,50.87,2915
19.21,50.92,2915
19.22,50.81,2891
19.23,50.88,2889
19.23,50.87,2890
19.24,50.87,2867
19.24,50.85,2866
19.24,50.85,2894
19.24,50.95,2897
19.24,50.96,2914
19.24,50.99,2891
19.24,50.98,2891
19.24,51.01,2890
19.24,50.96,2915
19.25,50.86,2891
19.25,50.84,2891
19.25,50.85,2915
19.25,50.88,2915
19.25,50.85,2894
19.25,50.87,2891
19.25,50.92,2890
19.25,50.98,2891
19.25,50.98,2915
19.26,50.84,2890
19.26,50.87,2915
19.26,50.89,2888
19.26,51.01,2914
19.26,50.99,2915
19.26,51.07,2891
19.26,51.06,2890
19.27,51.03,2890
19.27,51.05,2891
19.27,51.11,2892
19.27,51.11,2873
19.27,51.04,2915
19.28,51.06,2890
19.28,51.11,2890
19.28,51.09,2889
19.29,51.13,2914
19.29,51.05,2895
19.29,51.08,2890
19.29,51.07,2914
19.29,51.08,2915
19.29,51.08,2915
19.30,51.04,2915
19.30,51.07,2915
19.30,51.11,2914
19.30,51.08,2916
19.31,51.08,2889
19.31,51.10,2891
19.31,51.11,2914
19.32,51.10,2914
19.32,51.04,2890
19.32,51.12,2867
19.33,51.08,2891
19.33,51.10,2915
19.35,51.12,2889
19.35,51.08,2895
19.35,51.11,2915
19.35,51.06,2888
19.35,51.09,2921
19.36,51.08,2888
19.36,51.05,2921
19.36,51.15,2888
19.36,51.11,2915
19.38,51.08,2894
19.38,51.08,2888
19.38,51.03,2887
19.38,51.06,2914
19.38,51.07,2890
19.38,51.05,2888
19.39,51.08,2920
19.39,51.08,2889
19.39,51.09,2888
19.40,51.07,2914
19.41,50.97,2891
19.42,51.07,2890
19.42,50.99,2921
19.42,50.99,2915
19.43,51.04,2889
19.43,50.96,2888
19.43,51.01,2888
19.43,51.02,2921
19.44,50.98,2914
19.44,50.97,2914
19.44,51.07,2890
19.44,51.04,2866
19.44,51.05,2915
19.45,50.99,2920
19.45,51.00,2889
19.45,50.98,2896
19.46,51.04,2914
19.46,51.03,2866
19.46,51.01,2892
19.46,51.01,2888
19.46,51.10,2891
19.46,51.05,2889
19.46,51.11,2914
19.47,51.04,2888
19.47,51.04,2889
19.47,51.04,2921
19.47,51.09,2890
19.47,51.11,2890
19.47,51.13,2890
19.48,51.05,2896
19.48,51.04,2890
19.48,51.13,2890
19.48,51.13,2889
19.48,51.11,2890
19.48,51.11,2913
19.48,51.13,2889
19.48,51.11,2894
19.48,51.11,2915
19.50,51.04,2915
19.50,51.11,2914
19.50,51.11,2890
19.50,51.11,2914
19.50,51.11,2914
19.50,51.14,2888
19.50,51.08,2873
19.50,51.17,2913
19.50,51.24,2890
19.50,51.28,2890
19.50,51.27,2889
19.50,51.25,2889
19.51,51.17,2895
19.51,51.13,2889
19.51,51.10,2887
19.51,51.15,2890
19.51,51.17,2890
19.51,51.29,2888
19.51,51.30,2914
19.51,51.29,2897
19.53,51.31,2914
19.53,51.24,2890
19.53,51.14,2891
19.54,51.17,2867
19.54,51.18,2889
19.55,51.27,2893
19.55,51.21,2916
19.55,51.15,2913
19.55,51.17,2888
19.56,51.17,2914
19.56,51.16,2914
19.56,51.17,2888
19.57,51.15,2914
19.57,51.14,2890
19.57,51.14,2866
19.58,51.12,2889
19.58,51.16,2914
19.58,51.15,2913
19.60,51.10,2887
19.60,51.05,2888
19.61,51.05,2894
19.61,51.05,2914
19.62,51.04,2888
19.62,51.08,2888
19.62,51.07,2894
19.62,51.02,2915
19.62,51.08,2888
19.62,51.16,2889
